iata,lat,lng,country,name,city
GLH,33.482899,-90.985603,US,Mid Delta Regional Airport,Greenville
GLR,45.013500213600004,-84.7035980225,US,Gaylord Regional Airport,Gaylord
GLS,29.265301,-94.860397,US,Scholes International At Galveston Airport,Galveston
GLW,37.03179932,-85.9536972,US,Glasgow Municipal Airport,Glasgow
GMU,34.847903,-82.350217,US,Greenville Downtown Airport,Greenville
GNG,42.91719818,-114.7649994,US,Gooding Municipal Airport,Gooding
GNT,35.167301178,-107.902000427,US,Grants-Milan Municipal Airport,Grants
GNV,29.6900997162,-82.2717971802,US,Gainesville Regional Airport,Gainesville
GOK,35.84980011,-97.41560364,US,Guthrie-Edmond Regional Airport,Guthrie
GON,41.330101,-72.045097,US,Groton New London Airport,Groton
FCA,48.31050109863281,-114.25599670410156,US,Glacier Park International Airport,Kalispell
GPT,30.407301,-89.070099,US,Gulfport Biloxi International Airport,Gulfport
GPZ,47.21110153,-93.50980377,US,Grand Rapids Itasca Co-Gordon Newstrom field,Grand Rapids
GQQ,40.7533988953,-82.7238006592,US,Galion Municipal Airport,Galion
GRB,44.483459,-88.130805,US,Austin Straubel International Airport,Green Bay
GRD,34.248699,-82.159103,US,Greenwood County Airport,Greenwood
GRE,38.836844,-89.376525,US,Greenville Airport,Greenville
GRF,47.07920074,-122.5810013,US,Gray Army Air Field,Fort Lewis/Tacoma
GRI,40.967498779296875,-98.30960083007812,US,Central Nebraska Regional Airport,Grand Island
GRK,31.0672,-97.828903,US,Killeen Regional Airport / Robert Gray Army Airfield,Fort Cavazos
GRN,42.8059997559,-102.175003052,US,Gordon Municipal Airport,Gordon
GRR,42.88079834,-85.52279663,US,Gerald R. Ford International Airport,Grand Rapids
GSB,35.339401,-77.960602,US,Seymour Johnson Air Force Base,Goldsboro
GSH,41.526401519800004,-85.79290008539999,US,Goshen Municipal Airport,Goshen
GSO,36.097801,-79.937302,US,Piedmont Triad International Airport,Greensboro
GSP,34.895699,-82.218903,US,Greenville Spartanburg International Airport,Greer
GTF,47.48199844,-111.3710022,US,Great Falls International Airport,Great Falls
GTG,45.7980995178,-92.6643981934,US,Grantsburg Municipal Airport,Grantsburg
GTR,33.450298,-88.5914,US,Golden Triangle Regional Airport,Columbus/W Point/Starkville
GUC,38.534672,-106.934566,US,Gunnison Crested Butte Regional Airport,Gunnison
GUP,35.511653,-108.788166,US,Gallup Municipal Airport,Gallup
GUS,40.648102,-86.1521,US,Grissom Air Reserve Base,Peru
GUY,36.6851005554,-101.508003235,US,Guymon Municipal Airport,Guymon
GVE,38.155998,-78.165802,US,Gordonsville Municipal Airport,Gordonsville
GVL,34.27259827,-83.8302002,US,Lee Gilmer Memorial Airport,Gainesville
GVT,33.0677986145,-96.0652999878,US,Majors Airport,Greenville
GWO,33.495025,-90.088204,US,Greenwood–Leflore Airport,Greenwood
GWS,39.5083007812,-107.310997009,US,Glenwood Springs Municipal Airport,Glenwood Springs
KGX,62.895187,-160.066289,US,Grayling Airport,Grayling
GXY,40.4374008179,-104.633003235,US,Greeley–Weld County Airport,Greeley
GDC,34.758301,-82.376404,US,Donaldson Field Airport,Greenville
PNX,33.7141,-96.673698,US,North Texas Regional Airport Perrin Field,Denison
GYR,33.4225006104,-112.375999451,US,Phoenix Goodyear Airport,Goodyear
GYY,41.61629867553711,-87.41280364990234,US,Gary Chicago International Airport,Gary
KGZ,61.4551010132,-142.380996704,US,Glacier Creek Airport,Glacier Creek
DSY,10.914244,103.226652,KH,Dara Sakor International Airport,Ta Noun
HAB,34.11759949,-87.99819946,US,Marion County Rankin Fite Airport,Hamilton
HAF,37.513401031499995,-122.500999451,US,Half Moon Bay Airport,Half Moon Bay
HAI,41.959801,-85.593399,US,Three Rivers Municipal Dr Haines Airport,Three Rivers
HAO,39.363800048799995,-84.5220031738,US,Butler Co Regional Airport - Hogan Field,Hamilton
HBG,31.26479912,-89.25279999,US,Hattiesburg Bobby L Chain Municipal Airport,Hattiesburg
HBR,34.991317,-99.051313,US,Hobart Regional Airport,Hobart
HDE,40.452099,-99.336502,US,Brewster Field,Holdrege
HDN,40.481201,-107.218002,US,Yampa Valley Airport,Hayden
HEE,34.576571,-90.67616,US,Thompson-Robbins Airport,West Helena
MNZ,38.721401,-77.515404,US,Manassas Regional Airport/Harry P. Davis Field,Manassas
HEZ,31.614817,-91.297331,US,Natchez–Adams County Airport / Hardy-Anders Field,Natchez
HFD,41.736698150635,-72.649398803711,US,Hartford Brainard Airport,Hartford
HFF,35.036087,-79.498615,US,Mackall Army Air Field,Hoffman
HGR,39.708771,-77.728014,US,Hagerstown Regional Richard A Henson Field,Hagerstown
HHR,33.922798,-118.334999,US,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne
HUJ,34.03480148,-95.54190063,US,Stan Stamper Municipal Airport,Hugo
HIB,47.384831,-92.836905,US,Range Regional Airport,Hibbing
HIE,44.36752,-71.545765,US,Mount Washington Regional Airport,Whitefield
HIF,41.12403,-111.973086,US,Hill Air Force Base,Ogden
HII,34.571098,-114.358002,US,Lake Havasu City International Airport,Lake Havasu City
HIO,45.540401,-122.949997,US,Portland Hillsboro Airport,Portland
HKA,35.940399169900004,-89.83080291750001,US,Blytheville Municipal Airport,Blytheville
HKS,32.33449936,-90.22219849,US,Hawkins Field,Jackson
HKY,35.74110031,-81.38950348,US,Hickory Regional Airport,Hickory
HLB,39.342861,-85.258441,US,Batesville Airport,Batesville
HLC,39.37879944,-99.83149719,US,Hill City Municipal Airport,Hill City
HLG,40.1749992371,-80.6463012695,US,Wheeling Ohio County Airport,Wheeling
HLN,46.6068,-111.983002,US,Helena Regional Airport,Helena
HMN,32.852501,-106.107002,US,Holloman Air Force Base,Alamogordo
HMT,33.7340011597,-117.023002625,US,Hemet Ryan Airport,Hemet
HNB,38.2490005493,-86.95369720459999,US,Huntingburg Airport,Huntingburg
HSH,35.9728012085,-115.134002686,US,Henderson Executive Airport,Las Vegas
HOB,32.6875,-103.217003,US,Lea County Regional Airport,Hobbs
HON,44.385201,-98.2285,US,Huron Regional Airport,Huron
HOP,36.674154,-87.48974,US,Campbell Army Airfield (Fort Campbell),Fort Campbell
HOT,34.4788,-93.096262,US,Memorial Field Airport,Hot Springs
HOU,29.645399,-95.2789,US,William P Hobby Airport,Houston
HPN,41.06700134277344,-73.70760345458984,US,Westchester County Airport,White Plains
HPT,42.7237014771,-93.22630310059999,US,Hampton Municipal Airport,Hampton
HPY,29.786100387599998,-94.95269775390001,US,Baytown Airport,Baytown
HQM,46.971199035599994,-123.93699646,US,Bowerman Airport,Hoquiam
HES,45.828223,-119.259024,US,Hermiston Municipal Airport,Hermiston
HRL,26.228500366210938,-97.65440368652344,US,Valley International Airport,Harlingen
HRO,36.26150131225586,-93.15470123291016,US,Boone County Airport,Harrison
HSB,37.811298,-88.550301,US,Harrisburg-Raleigh Airport,Harrisburg
HNC,35.232799530029,-75.617797851562,US,Billy Mitchell Airport,Hatteras
THP,43.713602,-108.389687,US,Hot Springs County Airport,Thermopolis
HSI,40.6053009033,-98.42790222170001,US,Hastings Municipal Airport,Hastings
HSP,37.95140076,-79.83390045,US,Ingalls Field,Hot Springs
HST,25.48859978,-80.38359833,US,Homestead ARB Airport,Homestead
HSV,34.637199,-86.775101,US,Huntsville International Carl T Jones Field,Huntsville
HTH,38.544399,-118.634002,US,Hawthorne Industrial Airport,Hawthorne
HTL,44.359798,-84.671095,US,Roscommon County - Blodgett Memorial Airport,Houghton Lake
HTO,40.959954,-72.25105,US,Town of East Hampton Airport,East Hampton
HTS,38.366699,-82.557999,US,Tri-State Airport / Milton J. Ferguson Field,Huntington
HTW,38.419082,-82.494922,US,Lawrence County Airpark,South Point
HUA,34.67869949,-86.68479919,US,Redstone Army Air Field,Redstone Arsnl Huntsville
HUF,39.4515,-87.307602,US,Terre Haute Regional Airport Hulman Field,Terre Haute
HUL,46.1231002808,-67.792098999,US,Houlton International Airport,Houlton
HUM,29.5664997101,-90.6604003906,US,Houma Terrebonne Airport,Houma
HUT,38.0654983521,-97.86060333250002,US,Hutchinson Municipal Airport,Hutchinson
HVE,38.417999267599996,-110.70400238,US,Hanksville Airport,Hanksville
HVN,41.26369858,-72.88680267,US,Tweed New Haven Airport,New Haven
HVR,48.541387,-109.762859,US,Havre City County Airport,Havre
HVS,34.4030990601,-80.11920166019999,US,Hartsville Regional Airport,Hartsville
HWD,37.659198761,-122.122001648,US,Hayward Executive Airport,Hayward
HWO,26.0012,-80.2407,US,North Perry Airport,Hollywood
WSH,40.821899,-72.8694,US,Brookhaven Calabro Airport,Shirley
HHH,32.2244,-80.697502,US,Hilton Head Airport,Hilton Head Island
HYA,41.6693,-70.280403,US,Cape Cod Gateway Airport,Hyannis
HYR,46.025199890100005,-91.44429779050002,US,Sawyer County Airport,Hayward
HYS,38.844521,-99.273148,US,Hays Regional Airport,Hays
HZL,40.986801147499996,-75.9949035645,US,Hazleton Municipal Airport,Hazleton
JFN,41.778,-80.695503,US,Northeast Ohio Regional Airport,Ashtabula
IAB,37.621899,-97.268204,US,McConnell Air Force Base,Wichita
IAD,38.9445,-77.455803,US,Washington Dulles International Airport,Dulles
IAG,43.1073,-78.946198,US,Niagara Falls International Airport,Niagara Falls
IAH,29.984399795532227,-95.34140014648438,US,George Bush Intercontinental Houston Airport,Houston
ICL,40.72180176,-95.02639771,US,Schenck Field,Clarinda
ICT,37.649899,-97.433098,US,Wichita Eisenhower National Airport,Wichita
IDA,43.514599,-112.070999,US,Idaho Falls Regional Airport,Idaho Falls
IDG,42.3326,-95.444901,US,Ida Grove Municipal Airport,Ida Grove
IDI,40.631119,-79.101884,US,Indiana County–Jimmy Stewart Airport,Indiana
IDP,37.1584014893,-95.77839660640001,US,Independence Municipal Airport,Independence
XPR,43.020902,-102.506089,US,Pine Ridge Airport,Pine Ridge
IFA,42.4707984924,-93.2699966431,US,Iowa Falls Municipal Airport,Iowa Falls
IFP,35.157398,-114.559998,US,Laughlin Bullhead International Airport,Bullhead City
IGM,35.259499,-113.938004,US,Kingman Airport,Kingman
IJX,39.774601,-90.238297,US,Jacksonville Municipal Airport,Jacksonville
IKK,41.07139968869999,-87.8462982178,US,Greater Kankakee Airport,Kankakee
KIL,-9.2886,28.3269,CD,Kilwa Airport,Kilwa
ILE,31.0858001709,-97.6865005493,US,Skylark Field,Killeen
ILG,39.678699,-75.606499,US,Wilmington Airport,Wilmington
ILM,34.270599365234375,-77.90260314941406,US,Wilmington International Airport,Wilmington
ILN,39.427898407,-83.792098999,US,Wilmington Airpark,Wilmington
IML,40.50930023,-101.6210022,US,Imperial Municipal Airport,Imperial
IMM,26.427933,-81.403531,US,Immokalee Regional Airport,Immokalee
MDN,38.75889969,-85.46549988,US,Madison Municipal Airport,Madison
IMT,45.81911,-88.114557,US,Ford Airport,Kingsford
IND,39.7173,-86.294403,US,Indianapolis International Airport,Indianapolis
INK,31.779600143399996,-103.200996399,US,Winkler County Airport,Wink
INL,48.566200256347656,-93.4030990600586,US,Falls International Airport,International Falls
INS,36.587200164799995,-115.672996521,US,Creech Air Force Base,Indian Springs
INT,36.13370132446289,-80.22200012207031,US,Smith Reynolds Airport,Winston Salem
INW,35.021900177,-110.722999573,US,Winslow Lindbergh Regional Airport,Winslow
IOW,41.639198303200004,-91.5465011597,US,Iowa City Municipal Airport,Iowa City
IPL,32.83539,-115.574026,US,Imperial County Airport,Imperial
IPT,41.242126,-76.92245,US,Williamsport Regional Airport,Williamsport
IRK,40.09349822998047,-92.5448989868164,US,Kirksville Regional Airport,Kirksville
IRS,41.813301,-85.439003,US,Kirsch Municipal Airport,Sturgis
ISM,28.2898006439,-81.4371032715,US,Kissimmee Gateway Airport,Orlando
ISO,35.331401825,-77.60880279540001,US,Kinston Regional Jetport At Stallings Field,Kinston
ISP,40.79520035,-73.10019684,US,Long Island Mac Arthur Airport,Islip
ISQ,45.974602,-86.171799,US,Schoolcraft County Airport,Manistique
ISW,44.3602981567,-89.83899688720001,US,Alexander Field South Wood County Airport,Wisconsin Rapids
ITH,42.49100112915039,-76.4583969116211,US,Ithaca Tompkins Regional Airport,Ithaca
AZA,33.3078,-111.654999,US,Mesa Gateway Airport,Mesa
IWD,46.525298,-90.131578,US,Gogebic Iron County Airport,Ironwood
ISS,43.9613990784,-69.712600708,US,Wiscasset Airport,Wiscasset
IWS,29.818199,-95.6726,US,West Houston Airport,Houston
JCI,38.830898,-94.890297,US,New Century AirCenter Airport,New Century
IYK,35.65879822,-117.8300018,US,Inyokern Airport,Inyokern
SQA,34.60680008,-120.0759964,US,Santa Ynez Airport,Santa Ynez
FRY,43.991100311299995,-70.9478988647,US,Eastern Slopes Regional Airport,Fryeburg
JAC,43.6072998046875,-110.73799896240234,US,Jackson Hole Airport,Jackson
JAN,32.311199,-90.075897,US,Jackson-Medgar Wiley Evers International Airport,Jackson
JAS,30.8857,-94.034897,US,Jasper County Airport Bell Field,Jasper
JAX,30.492469,-81.687813,US,Jacksonville International Airport,Jacksonville
JBR,35.83169937133789,-90.64640045166016,US,Jonesboro Municipal Airport,Jonesboro
JCT,30.5112991333,-99.7634963989,US,Kimble County Airport,Junction
JDN,47.3288,-106.953003,US,Jordan Airport,Jordan
JEF,38.5912017822,-92.15609741210001,US,Jefferson City Memorial Airport,Jefferson City
JFK,40.639447,-73.779317,US,John F Kennedy International Airport,New York
JHW,42.15425,-79.254008,US,Chautauqua County-Jamestown Airport,Jamestown
GUF,30.290501,-87.671799,US,Jack Edwards National Airport,Gulf Shores
JLN,37.151798,-94.498299,US,Joplin Regional Airport,Joplin
JMS,46.92969894,-98.67819977,US,Jamestown Regional Airport,Jamestown
JOT,41.51779938,-88.17549896,US,Joliet Regional Airport,Joliet
USA,35.387798,-80.709099,US,Concord-Padgett Regional Airport,Concord
JKV,31.8693008423,-95.2173995972,US,Cherokee County Airport,Jacksonville
JST,40.31610107421875,-78.83390045166016,US,John Murtha Johnstown Cambria County Airport,Johnstown
JVL,42.620300293,-89.0416030884,US,Southern Wisconsin Regional Airport,Janesville
KJX,3.735749,96.790109,ID,Kuala Batu Airport,Blangpidie
JXN,42.260509,-84.463019,US,Jackson County Airport/Reynolds Field,Jackson
OSB,38.1105,-92.680496,US,Grand Glaize Osage Beach Airport,Osage Beach
KIC,36.2280006409,-121.122001648,US,Mesa Del Rey Airport,King City
KLS,46.11800003049999,-122.898002625,US,Southwest Washington Regional Airport,Kelso
KNB,37.011101,-112.530998,US,Kanab Municipal Airport,Kanab
KKU,58.8111991882,-158.559005737,US,Ekuk Airport,Ekuk
DTH,36.463799,-116.880997,US,Furnace Creek Airport,Death Valley
BXS,33.2589988708,-116.320999146,US,Borrego Valley Airport,Borrego Springs
RBF,34.263802,-116.856003,US,Big Bear City Airport,Big Bear
MYH,36.8125,-111.647003,US,Marble Canyon Airport,Marble Canyon
TRH,35.8125,-117.327003479,US,Trona Airport,Trona
LAA,38.066407,-102.691373,US,Southeast Colorado Regional Airport,Lamar
LAF,40.412875,-86.939363,US,Purdue University Airport,West Lafayette
LAL,27.987656,-82.018776,US,Lakeland Linder International Airport,Lakeland
LAM,35.8797988892,-106.268997192,US,Los Alamos Airport,Los Alamos
LAN,42.77870178222656,-84.58740234375,US,Capital City Airport,Lansing
LAR,41.31209945678711,-105.67500305175781,US,Laramie Regional Airport,Laramie
LAS,36.083361,-115.151817,US,Harry Reid International Airport,Las Vegas
LAW,34.567699,-98.416603,US,Lawton Fort Sill Regional Airport,Lawton
LAX,33.942501,-118.407997,US,Los Angeles International Airport,Los Angeles
LBB,33.663601,-101.822998,US,Lubbock Preston Smith International Airport,Lubbock
LBE,40.275902,-79.4048,US,Arnold Palmer Regional Airport,Latrobe
LBF,41.12620163,-100.6839981,US,North Platte Regional Airport Lee Bird Field,North Platte
LBL,37.0442009,-100.9599991,US,Liberal Mid-America Regional Airport,Liberal
LBT,34.610773,-79.05943,US,Lumberton Regional Airport,Lumberton
LJN,29.108601,-95.462097,US,Texas Gulf Coast Regional Airport,Angleton
LCH,30.126100540161133,-93.22329711914062,US,Lake Charles Regional Airport,Lake Charles
LCI,43.572701,-71.4189,US,Laconia Municipal Airport,Laconia / Gilford
LCK,39.813801,-82.927803,US,Rickenbacker International Airport,Columbus
LCQ,30.181999,-82.576897,US,Lake City Gateway Airport,Lake City
LDJ,40.617401123,-74.2445983887,US,Linden Airport,Linden
LDM,43.96250153,-86.40789795,US,Mason County Airport,Ludington
LEB,43.626098632799994,-72.30419921880001,US,Lebanon Municipal Airport,Lebanon
LEE,28.82309914,-81.80870056,US,Leesburg International Airport,Leesburg
LEM,45.9187011719,-102.106002808,US,Lemmon Municipal Airport,Lemmon
LEW,44.048500061,-70.2835006714,US,Auburn Lewiston Municipal Airport,Auburn/Lewiston
LEX,38.036499,-84.605904,US,Blue Grass Airport,Lexington
LFI,37.082901,-76.360497,US,Langley Air Force Base,Hampton
LFK,31.2339992523,-94.75,US,Angelina County Airport,Lufkin
LFT,30.205299,-91.987602,US,Lafayette Regional Airport,Lafayette
LGA,40.777199,-73.872597,US,LaGuardia Airport,New York
LGB,33.816523,-118.149891,US,Long Beach Airport (Daugherty Field),Long Beach
LGC,33.008873,-85.074331,US,LaGrange Callaway Airport,LaGrange
LGD,45.2901992798,-118.007003784,US,La Grande/Union County Airport,La Grande
LGF,32.86000061,-114.3970032,US,Laguna Army Airfield,Yuma Proving Ground(Yuma)
LGU,41.7911987305,-111.851997375,US,Logan-Cache Airport,Logan
LHV,41.13560104,-77.42230225,US,William T. Piper Memorial Airport,Lock Haven
LIY,31.891237,-81.561003,US,MidCoast Regional Airport at Wright Army Airfield,Hinesville
LFN,36.0233,-78.330299,US,Triangle North Executive Airport,Louisburg
LIC,39.274799346900004,-103.666000366,US,Limon Municipal Airport,Limon
LIT,34.729582,-92.223728,US,Bill & Hillary Clinton National Airport/Adams Field,Little Rock
LKP,44.2644996643,-73.96189880370001,US,Lake Placid Airport,Lake Placid
LOW,38.0098,-77.9701,US,Louisa County Airport / Freeman Field,Louisa
LKV,42.161098480199996,-120.399002075,US,Lake County Airport,Lakeview
CHL,44.522999,-114.218002,US,Challis Airport,Challis
LMS,33.1461982727,-89.0625,US,Louisville Winston County Airport,Louisville
LMT,42.156101,-121.733002,US,Crater Lake-Klamath Regional Airport,Klamath Falls
LNA,26.59300041,-80.08509827,US,Palm Beach County Park Airport,West Palm Beach
LND,42.815201,-108.730003,US,Hunt Field,Lander
LNK,40.85100173950195,-96.75920104980469,US,Lincoln Airport,Lincoln
LNN,41.683998,-81.389702,US,Lake County Executive Airport,Willoughby
LNP,36.9874992371,-82.5299987793,US,Lonesome Pine Airport,Wise
LNR,43.2099,-90.181332,US,Tri-County Regional Airport,Spring Green
LNS,40.121700286865234,-76.29609680175781,US,Lancaster Airport,Lancaster
LOL,40.0663986206,-118.565002441,US,Derby Field,Lovelock
BBX,40.1375007629,-75.2650985718,US,Wings Field,Philadelphia
LOT,41.6072998,-88.09619904,US,Lewis University Airport,Chicago/Romeoville
LOU,38.2280006409,-85.6636962891,US,Bowman Field,Louisville
LOZ,37.0821990967,-84.08489990230001,US,London-Corbin Airport/Magee Field,London
LPC,34.665599823,-120.468002319,US,Lompoc Airport,Lompoc
LQK,34.8100013733,-82.70290374759999,US,Pickens County Airport,Pickens
LRD,27.543800354003906,-99.46160125732422,US,Laredo International Airport,Laredo
LRF,34.916900634799994,-92.14969635010002,US,Little Rock Air Force Base,Jacksonville
LRJ,42.77799988,-96.1937027,US,Le Mars Municipal Airport,Le Mars
LRU,32.289398,-106.921997,US,Las Cruces International Airport,Las Cruces
LSB,32.3334999084,-108.692001343,US,Lordsburg Municipal Airport,Lordsburg
LSE,43.879002,-91.256699,US,La Crosse Regional Airport,La Crosse
LSF,32.332546,-84.988003,US,Lawson Army Air Field,Fort Benning
LSK,42.753799438499996,-104.404998779,US,Lusk Municipal Airport,Lusk
LSN,37.06290054,-120.8690033,US,Los Banos Municipal Airport,Los Banos
LSV,36.2361984253,-115.033996582,US,Nellis Air Force Base,Las Vegas
LTS,34.667099,-99.266701,US,Altus Air Force Base,Altus
LUF,33.535,-112.383003,US,Luke Air Force Base,Glendale
LUK,39.102357,-84.418945,US,Cincinnati Municipal Airport Lunken Field,Cincinnati
LUL,31.672599792499998,-89.172203064,US,Hesler Noble Field,Laurel
